Player,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,Team Wins,Overall Seed,All-Star
Duncan Robinson\robindu01,MIA,79,25.9,10.9,2.6,1.6,0.5,0.2,0.399,0.372,0.836,3.9,0.092,0.7,-0.6,53,1,0
Cody Martin\martico01,CHO,71,26.3,7.7,4,2.5,1.2,0.5,0.482,0.384,0.701,3.9,0.101,0.7,-0.5,43,10,0
Amir Coffey\coffeam01,LAC,69,22.7,9,2.9,1.8,0.6,0.2,0.453,0.378,0.863,3.8,0.116,0.7,-0.3,42,8,0
Tyler Herro\herroty01,MIA,66,32.6,20.7,5,4,0.7,0.1,0.447,0.399,0.868,3.8,0.084,1.5,0.7,53,1,0
Matisse Thybulle\thybuma01,PHI,66,25.5,5.7,2.3,1.1,1.7,1.1,0.5,0.313,0.791,3.7,0.107,1.3,1.1,51,4,0
Evan Fournier\fournev01,NYK,80,29.5,14.1,2.6,2.1,1,0.3,0.417,0.389,0.708,3.7,0.075,0.7,-0.7,37,11,0
Nicolas Batum\batumni01,LAC,59,24.8,8.3,4.3,1.7,1,0.7,0.463,0.4,0.658,3.7,0.123,1.6,2.3,42,8,0
Bogdan Bogdanović\bogdabo01,ATL,63,29.3,15.1,4,3.1,1.1,0.2,0.431,0.368,0.843,3.7,0.095,1.5,1.3,43,9,0
De'Anthony Melton\meltode01,MEM,73,22.7,10.8,4.5,2.7,1.4,0.5,0.404,0.374,0.75,3.7,0.107,1.6,1.9,56,2,0
OG Anunoby\anunoog01,TOR,48,36,17.1,5.5,2.6,1.5,0.5,0.443,0.363,0.754,3.7,0.104,1.1,0.5,48,5,0
Jusuf Nurkić\nurkiju01,POR,56,28.2,15,11.1,2.8,1.1,0.6,0.535,0.268,0.69,3.6,0.11,0.9,0.3,27,13,0
CJ McCollum\mccolcj01,TOT,62,34.6,22.1,4.3,5.1,1.1,0.4,0.46,0.388,0.682,3.6,0.081,2.1,1.9,,,0
Danilo Gallinari\gallida01,ATL,66,25.3,11.7,4.7,1.5,0.4,0.2,0.434,0.381,0.904,3.6,0.105,0.8,-0.2,43,9,0
Draymond Green\greendr01,GSW,46,28.9,7.5,7.3,7,1.3,1.1,0.525,0.296,0.659,3.6,0.131,1.8,3.2,53,3,1
Malik Monk\monkma01,LAL,76,28.1,13.8,3.4,2.9,0.8,0.4,0.473,0.391,0.795,3.6,0.081,0.8,-0.5,33,11,0
CJ McCollum\mccolcj01,POR,36,35.2,20.5,4.3,4.5,1,0.6,0.436,0.384,0.706,3.6,0.081,2.1,1.9,27,13,0
Delon Wright\wrighde01,ATL,77,18.9,4.4,2.9,2.4,1.2,0.2,0.454,0.379,0.857,3.6,0.121,1.6,2.2,43,9,0
Carmelo Anthony\anthoca01,LAL,69,26,13.3,4.2,1,0.7,0.8,0.441,0.375,0.83,3.6,0.097,0.7,-0.5,33,11,0
Max Strus\strusma01,MIA,68,23.3,10.6,3,1.4,0.4,0.2,0.441,0.41,0.792,3.6,0.11,1.2,0.9,53,1,0
Jordan Clarkson\clarkjo01,UTA,79,27.1,16,3.5,2.5,0.8,0.2,0.419,0.318,0.828,3.5,0.079,0.7,-0.6,49,5,0
Josh Richardson\richajo01,BOS,44,24.7,9.7,2.8,1.5,0.8,0.5,0.443,0.397,0.859,3.5,0.106,0.9,0.1,51,2,0
Kyle Anderson\anderky01,MEM,69,21.5,7.6,5.3,2.7,1.1,0.7,0.446,0.33,0.638,3.5,0.113,1.2,1.2,56,2,0
Dewayne Dedmon\dedmode01,MIA,67,15.9,6.3,5.8,0.7,0.4,0.6,0.566,0.404,0.75,3.5,0.157,0.3,-1,53,1,0
Trey Lyles\lylestr01,DET,51,19.4,10.4,4.8,1.1,0.4,0.5,0.456,0.301,0.784,3.5,0.111,0.7,-0.3,23,14,0
Nic Claxton\claxtni01,BRK,47,20.7,8.7,5.6,0.9,0.5,1.1,0.674,,0.581,3.5,0.171,0.6,0.4,44,7,0
Trey Lyles\lylestr01,TOT,75,20.5,10.5,5.1,1.2,0.4,0.4,0.466,0.321,0.802,3.5,0.111,0.7,-0.3,,,0
Dwight Howard\howardw01,LAL,60,16.2,6.2,5.9,0.6,0.6,0.6,0.612,0.533,0.658,3.5,0.174,0.4,-0.2,33,11,0
Josh Richardson\richajo01,TOT,65,24.6,10.2,2.8,1.8,0.9,0.4,0.438,0.415,0.889,3.5,0.106,0.9,0.1,,,0
Drew Eubanks\eubandr01,TOT,71,17.5,7.7,5.4,1.2,0.4,0.6,0.596,0.217,0.762,3.4,0.13,0.2,-1.4,,,0
Kristaps Porziņģis\porzikr01,TOT,51,29,20.2,8.1,2.3,0.7,1.6,0.459,0.31,0.867,3.4,0.161,1.3,3,,,0
P.J. Washington\washipj01,CHO,65,27.2,10.3,5.2,2.3,0.9,0.9,0.47,0.365,0.716,3.4,0.091,0.9,-0.1,43,10,0
Isaiah Stewart\stewais01,DET,71,25.6,8.3,8.7,1.2,0.3,1.1,0.51,0.326,0.718,3.4,0.091,-0.6,-3.3,23,14,0
Kristaps Porziņģis\porzikr01,DAL,34,29.5,19.2,7.7,2,0.7,1.7,0.451,0.283,0.865,3.4,0.161,1.3,3,52,4,0
Josh Hart\hartjo01,TOT,54,33.2,14.9,7.2,4.1,1.1,0.2,0.504,0.343,0.758,3.4,0.119,0.9,0.7,,,0
Josh Hart\hartjo01,NOP,41,33.5,13.4,7.8,4.1,1.1,0.3,0.505,0.323,0.753,3.4,0.119,0.9,0.7,36,9,0
Drew Eubanks\eubandr01,SAS,49,12.1,4.7,4,1,0.3,0.6,0.528,0.125,0.747,3.4,0.13,0.2,-1.4,34,10,0
Derrick White\whitede01,TOT,75,29.3,13.2,3.5,4.9,0.9,0.8,0.421,0.312,0.864,3.3,0.107,1.4,1.8,,,0
James Harden\hardeja01,BRK,44,37,22.5,8,10.2,1.3,0.7,0.414,0.332,0.869,3.3,0.197,1.2,3.9,44,7,0
Derrick White\whitede01,SAS,49,30.3,14.4,3.5,5.6,1,0.9,0.426,0.314,0.869,3.3,0.107,1.4,1.8,34,10,0
Kelly Oubre Jr.\oubreke01,CHO,76,26.3,15,4,1.1,1,0.4,0.44,0.345,0.667,3.3,0.079,0.3,-1.4,43,10,0
Damian Jones\jonesda03,SAC,56,18.2,8.1,4.4,1.2,0.5,0.8,0.658,0.345,0.718,3.3,0.156,0.6,0.3,30,12,0
Kyrie Irving\irvinky01,BRK,29,37.6,27.4,4.4,5.8,1.4,0.6,0.469,0.418,0.915,3.3,0.147,1.4,3,44,7,0
Devin Vassell\vassede01,SAS,71,27.3,12.3,4.3,1.9,1.1,0.6,0.427,0.361,0.838,3.3,0.082,0.7,-0.5,34,10,0
